price,title,location,time,image_link
"₹ 2,600",All types of car seats covers available,"Shivpuri, Ludhiana",Yesterday,https://apollo.olx.in:443/v1/files/d8k84mgxl9472-IN/image;s=150x0;q=50;f=webp;
"₹ 26,90,000","2BHK FLAT SALE Magnolia Fantasia with covered car parking

No broaker","Barasat- Barrackpore Road, Kolkata",Yesterday,https://apollo.olx.in:443/v1/files/utghiy930pqf2-IN/image;s=150x0;q=50;f=webp;
"₹ 1,000",wooden beads car seat cover,"Pallikaranai Selvam Nagar, Chennai",Yesterday,https://apollo.olx.in:443/v1/files/fxnehcgobdgc-IN/image;s=150x0;q=50;f=webp;
"₹ 23,80,000",NATP Sanction 1Rk luxurious flat with cover car parking with balcony,"Narhe, Pune",Yesterday,https://apollo.olx.in:443/v1/files/z2d3ejg46n653-IN/image;s=150x0;q=50;f=webp;
"₹ 1,000",All Maruthi Seat cover  car stereo,"Panamaram, Wayanad",Yesterday,https://apollo.olx.in:443/v1/files/6x9m3ok0y4f83-IN/image;s=150x0;q=50;f=webp;
"₹ 43,50,000",2Bhk flats with covered car parking,"Perungalattur, Tambaram",Yesterday,https://apollo.olx.in:443/v1/files/8pizbx30gtdn1-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 6,000",Seat cover for all cars and traveller,"Gandhipuram, Coimbatore",Yesterday,https://apollo.olx.in:443/v1/files/1eknspo4jaeh2-ADVIN/image;s=150x0;q=50;f=webp;
₹ 849,Maruti Swift Car Cover,"20 Dukan, Jaipur",2 days ago,https://apollo.olx.in:443/v1/files/1irc2k6de8791-IN/image;s=150x0;q=50;f=webp;
₹ 700,Brembo caliper covers for all cars,"Gachibowli, Hyderabad",2 days ago,https://apollo.olx.in:443/v1/files/lo4baohmdgxu3-ADVIN/image;s=150x0;q=50;f=webp;
,MODERN manufactur car seat cover,"Manikonda, Hyderabad",2 days ago,https://apollo.olx.in:443/v1/files/0lngxp2ul1yz-IN/image;s=150x0;q=50;f=webp;
₹ 699,Brembo brake caliper covers all colours available for all cars,"Begumpet, Hyderabad",2 days ago,https://apollo.olx.in:443/v1/files/ep3qq237eju53-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 3,800",Car seat cover blr,"Bvk Iyengar Road Bangalore, Bengaluru",2 days ago,https://apollo.olx.in:443/v1/files/jx12wjerpn6r1-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 15,000",Defander car stepni cover,"Ashok Vihar, Delhi",2 days ago,https://apollo.olx.in:443/v1/files/1lezodrmh7nc2-IN/image;s=150x0;q=50;f=webp;
"₹ 1,21,00,000","Full Furnished 3BHK flat for sale 5 years old, 1 covered car parking.","Moshi, Pune",2 days ago,https://apollo.olx.in:443/v1/files/4igkd2bbrzd53-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 70,00,000",2BHK Apartment with covered car parking,"Kanakadasa Layout, Bengaluru",2 days ago,https://apollo.olx.in:443/v1/files/84f03nxeys871-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 21,20,000",Korattur 2 BHK Flat for Sale with Covered Car Parking,"Mogappair, Chennai",2 days ago,https://apollo.olx.in:443/v1/files/tztdojv95pxl1-ADVIN/image;s=150x0;q=50;f=webp;
"₹ 33,00,000",Thirumullaivoyal 2 BHK Flat for Sale with Covered Car Parking,"Ayappakkam, Chennai",2 days ago,https://apollo.olx.in:443/v1/files/3yw79fy8wsxv2-ADVIN/image;s=150x0;q=50;f=webp;
₹ 300,"Car Hand Rest , 3 Way Speakers , Stearing Cover","Alandi Road, Pune",2 days ago,https://apollo.olx.in:443/v1/files/uu27tztjinys-ADVIN/image;s=150x0;q=50;f=webp;
